episodio,desc,duracion_ms,id,imagen_url,fecha,episodio_url
"182: En veinte años vamos a decir ""ya no hacen más películas como Carry-On""","A que no sabés que te trae este último Hoy Trasnoche del 2024. A ver si adivinás, dale. Puede, tal vez, quizás, que sea el top 10 del año de Calu y Flor, pero andá a saber, tal vez se olvidaron. ¿En qué puestos estará Longlegs? ¿Habrá entrado Madame Web? ¿Cuántas nuevas de Suar? ¿Se entenderán las reglas de Flor?  Escuchá, opiná y dejá tus películas favoritas (y lógica de selección) por acá.  Ah, bueno, claro que además podés pasar por hoytrasnoche.com para suscribirte. Gracias y feliz año nuevo. <3",5363800,2jsJBdjpNEF0ZeBacN65Qm,https://i.scdn.co/image/ab6765630000ba8abd0823d1644696ae9403456c,2024-12-28,https://open.spotify.com/episode/2jsJBdjpNEF0ZeBacN65Qm
181: Quiso entrar en esa línea de trabajo pero se le cansaban mucho los gemelos,"Vimos Anora (2024), la ¿esperadísima? ¿solo por nosotros? nueva película de Sean Baker. Hablamos de coyuntura, pero la verdad que tampoco tanto. Ponela en hoytrasnoche.com, no seas ortiva.",4102870,28mNHcbcAIe7FPy0IyaNb3,https://i.scdn.co/image/ab6765630000ba8a930594f2105b29b17bd686f6,2024-12-20,https://open.spotify.com/episode/28mNHcbcAIe7FPy0IyaNb3
180: Ningún pibe nace streamer,"Vimos Hereje (Heretic, 2024) de Scott Beck y Bryan Woods, esa con Hugh Grant asustando a dos chicas mormonas.  Algunas de las cuestiones que también comentamos: Tarantino contra las series, El Pampero ""domado"", las nominaciones a los Golden Globes y Paul Shrader con Luigi Mangione.  www.hoytrasnoche.com ",4811284,6TMPCfVAR2y5lLPAt9CXnf,https://i.scdn.co/image/ab6765630000ba8af6a70856ff65a43332057747,2024-12-13,https://open.spotify.com/episode/6TMPCfVAR2y5lLPAt9CXnf
179: Me sentí como Agustín Laje viendo Frozen,"Vimos Juror #2 (2024), la nueva de Clint Eastwood y fue una buena excusa para revisar su filmografía de atrás para adelante, porque pintó. También hablamos de la ¡próxima! ¿próximas? de Francis Ford Coppola, Flor hizo un reporte pormenorizado de lo que sintió cuando fue a ver Wicked (2024) de Jon M. Chu y alguna que otra cosa más que en este momento, sinceramente, nos escapa. La verdad que se cae de maduro que tenés que pasar por hoytrasnoche.com y fijarte la forma de darnos algo a cambio de tanto.",4551732,0rK2c1SC8aD4n7KxMp2KEP,https://i.scdn.co/image/ab6765630000ba8aab2d9c528c5b79f46f78adfd,2024-12-06,https://open.spotify.com/episode/0rK2c1SC8aD4n7KxMp2KEP
178: Voy a googlear de qué cuadro es Feinmann feat. el Pícaro,"Vino de invitado de Pícaro, porque justo estaba en zona y justo también había visto Cónclave (2024) la nueva de Edward Berger, que no contento con habernos ganado el Oscar, siguió haciendo películas.Y eso no fue todo, porque revisamos la lista de mejores películas de Cahiers su cinéma, hablamos del enojo del director de fotografía de Gladiador II con el método de trabajo de Ridley Scott, Margot Robbie muriéndose de ganas de que Babylon (2022) sea relevante dentro de veinte años y los últimos coletazos de la gira mediática del querido Mariano Llinás tras la entrevista con Seúl.¿Algo más? Puede ser. ¿Qué? Bueno, vas a tener que escuchar.También bien podrías pasar por hoytrasnoche.com y fijarte con qué poco podes tener tanto a cambio.",4042187,6eRTTOvQ1pItlHsbNR0paJ,https://i.scdn.co/image/ab6765630000ba8af7d4b29a77c67e5351c402b2,2024-11-29,https://open.spotify.com/episode/6eRTTOvQ1pItlHsbNR0paJ
177: Joker sos un fracasado hasta Venom progresa más que vos,"Vimos Emilia Pérez (2024) de Jacques Audiard y pasaron cosas. Sí, también hubo coyuntura, pero mejor quedate con lo de ""pasaron cosas"" Si justo andás con ganas ganas, estás en condiciones de y todo eso pasate por hoytrasnoche.com y ponete la diez. Gracias, bendiciones.",5357165,1ezuACxPiz2rUKsni7mNGy,https://i.scdn.co/image/ab6765630000ba8a0be183c0bd893f49da073dbe,2024-11-22,https://open.spotify.com/episode/1ezuACxPiz2rUKsni7mNGy
176: Me gustaría saber la opinión de Momo de esta película,Hablamos de un par de cosas y VIMOS MEGALÓPOLIS (2024) DE FRANCIS FORD COPPOLA. Ahora vos andá a hoytrasnoche.com y hacé tu parte del trato. Primer aviso. ,5703235,0vaY8f6BzINKEklIj3gtUH,https://i.scdn.co/image/ab6765630000ba8a387977dee48125559517e0f7,2024-11-15,https://open.spotify.com/episode/0vaY8f6BzINKEklIj3gtUH
"175: Salió, como dirían los nenazis, a tirar ""factos""","En la que quedará en la infamia como la ""semana de apreciación de Sebastian Stan"" vimos A Different Man (2024) de Aaron Schimberg. Pero eso no es todo, porque también nos metimos en coyunturas variadas internacionales y nacionales, haciendo ""la milla extra"" y hablando por teléfono con el querido Néstor Frenkel el mismo que, según el vocero presidencial, hizo solo 175 espectadores. Si tenés ganas, podés, y todo eso pasate por hoytrasnoche.com y ponela toda, que es más el beneficio que el gasto.",4403382,4H58Fx5yai77in0ZTeeV2I,https://i.scdn.co/image/ab6765630000ba8afd234506098b77953bc4e94c,2024-11-08,https://open.spotify.com/episode/4H58Fx5yai77in0ZTeeV2I
174: Una Lindsay Lohan con la peor de las ondas feat Cristian Ponce,"En este episodio especialísimo de Hoy Trasnoche, nos visita Cristian Ponce, primero que todo podcaster en Aguante Mulder además director de Historia de lo oculto (2020) y Abrazo de madre (Abraço de Mãe, 2024) y hablamos de un montón de cosas, entre ellas su nueva película rodada en el Brasil. Y hubo coyuntura y todo eso. Si tenés ganas, podés, etc pasate por hoytrasnoche.com y ponela todo lo que puedas. Bendiciones.",5814700,31wICTriKW75U1x1Vbsyih,https://i.scdn.co/image/ab6765630000ba8a824c7f69a5012fe3211e8c41,2024-11-01,https://open.spotify.com/episode/31wICTriKW75U1x1Vbsyih
173: Luis con lo único que es intransigente es con la droga,"Vimos la secuela de una película a la que le habíamos pasado por el costado por un tema tipográfico y de época: Sonríe 2 (Smile 2, 2024) de Parker Finn. ¿Qué pensamos? Bueno, lo vas a tener que escuchar. También hablamos de la ""muy politizada, muy de izquierda"" entrega de los Martín Fierro ¿de cine? ¿del cine? ¿de cine y series? ¿del cine series? y varias cosas internacionales más. Si tenés ganas, podés, etc pasate por hoytrasnoche.com y suscribite, que cada día es más barato.",4844930,4OIL8CrUOyH2Y8ZaQL2nZs,https://i.scdn.co/image/ab6765630000ba8adf43e48189fe4ca1d3ef119c,2024-10-25,https://open.spotify.com/episode/4OIL8CrUOyH2Y8ZaQL2nZs
