pelicula,pelicula_año,episodio,link_letterboxd
Bombshell,2019,No estoy defendiendo a Biondini,https://letterboxd.com/film/bombshell-2019/
The Invisible Man,2020,Los perritos y la falopa,https://letterboxd.com/film/the-invisible-man-2020/
Color Out of Space,2019,Hoy Trastorrent Vol. 2,https://letterboxd.com/film/color-out-of-space/
Queen & Slim,2019,Hoy Trastorrent Vol. 2,https://letterboxd.com/film/queen-slim/
Verotika,2019,HOY CORONGA,https://letterboxd.com/film/verotika/
The Hunt,2020,Este tampoco es el episodio 100,https://letterboxd.com/film/the-hunt-2020/
Swallow,2019,One Supón a Time in Hoy Trasnoche,https://letterboxd.com/film/swallow-2019/
Roar,1981,Los leones se divierten,https://letterboxd.com/film/roar/
Portrait of a Lady on Fire,2019,EN ESTE SE HABLA DE POLANSKI,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
An Officer and a Spy,2019,EN ESTE SE HABLA DE POLANSKI,https://letterboxd.com/film/an-officer-and-a-spy/
Butt Boy,2019,Caca y sangre,https://letterboxd.com/film/butt-boy/
Beastie Boys Story,2020,¿Qué carpincho sos?,https://letterboxd.com/film/beastie-boys-story/
The Lodge,2019,María Aurelia Paula Martínez Suárez,https://letterboxd.com/film/the-lodge-2019/
The Assistant,2019,La corneta fantasmagórica,https://letterboxd.com/film/the-assistant-2019/
Buffaloed,2019,Hay una dignidad en el pañal,https://letterboxd.com/film/buffaloed/
Capone,2020,Hay una dignidad en el pañal,https://letterboxd.com/film/capone-2020/
Why Don't You Just Die!,2018,Botón de desver,https://letterboxd.com/film/why-dont-you-just-die/
Intuition,2020,Botón de desver,https://letterboxd.com/film/intuition-2020/
A Good Woman Is Hard to Find,2019,El babyshower de Rosemary,https://letterboxd.com/film/a-good-woman-is-hard-to-find/
Shirley,2020,Colitis crónica,https://letterboxd.com/film/shirley-2020/
Da 5 Bloods,2020,El café de la menstruación,https://letterboxd.com/film/da-5-bloods/
Red Dawn,1984,¿PELÍCULA PROBLEMÁTICA? ¡ACÁ TENÉS PELÍCULA PROBLEMÁTICA!,https://letterboxd.com/film/red-dawn/
Babyteeth,2019,Una media llena de rulemanes,https://letterboxd.com/film/babyteeth/
Palm Springs,2020,Matrix es una poronga,https://letterboxd.com/film/palm-springs-2020/
Relic,2020,Matrix es una poronga,https://letterboxd.com/film/relic/
The Rental,2020,Elige tu propio abogado mediático,https://letterboxd.com/film/the-rental/
Host,2020,Vos Tenet que arrepentirte de lo que dijiste,https://letterboxd.com/film/host-2020/
Showgirls,1995,¡Una ardilla embalsamada con trajecito de marinero!,https://letterboxd.com/film/showgirls/
You Don't Nomi,2019,¡Una ardilla embalsamada con trajecito de marinero!,https://letterboxd.com/film/you-dont-nomi/
She Dies Tomorrow,2020,Coprófagos unidos,https://letterboxd.com/film/she-dies-tomorrow/
So Much Love to Give,2020,"""Una película original de Netflix""",https://letterboxd.com/film/so-much-love-to-give/
Unpregnant,2020,Cuando Cristian U termine la facultad,https://letterboxd.com/film/unpregnant/
Antebellum,2020,"Uf, qué fuerte, man",https://letterboxd.com/film/antebellum/
Feels Good Man,2020,ACÁ VA EL TÍTULO,https://letterboxd.com/film/feels-good-man/
The Lie,2018,El glory hole de Hoy Trasnoche,https://letterboxd.com/film/the-lie-2018/
Black Box,2020,El glory hole de Hoy Trasnoche,https://letterboxd.com/film/black-box-2020/
